Month,Category,Region,Sales,Profit
2024-07,Groceries,North,6003.5,858.25
2024-07,Groceries,South,4920.25,1242.93
2024-07,Groceries,East,5435.32,549.66
2024-07,Groceries,West,6347.76,1903.32
2024-07,Furniture,North,3240.96,673.51
2024-07,Furniture,South,2353.66,655.13
2024-07,Furniture,East,2815.06,505.92
2024-07,Furniture,West,3282.61,876.11
2024-07,Toys,North,2091.05,333.97
2024-07,Toys,South,1674.34,330.15
2024-07,Toys,East,2004.59,295.81
2024-07,Toys,West,2004.0,466.77
2024-08,Electronics,North,8465.2,1177.97
2024-08,Electronics,South,5484.87,1071.33
2024-08,Electronics,East,6309.85,1811.15
2024-08,Electronics,West,6905.46,1127.04
2024-08,Clothing,North,3855.68,415.67
2024-08,Clothing,South,3102.52,802.3
2024-08,Clothing,East,3077.87,894.28
2024-08,Clothing,West,3237.12,638.51
2024-08,Groceries,North,6328.84,772.03
2024-08,Groceries,South,4597.88,1231.13
2024-08,Groceries,East,4119.02,1022.05
2024-08,Groceries,West,5435.24,574.26
2024-08,Furniture,North,3214.09,793.71
2024-08,Furniture,South,2169.21,263.86
2024-08,Furniture,East,2301.67,602.02
2024-08,Furniture,West,2772.93,552.99
2024-08,Toys,North,1995.25,521.92
2024-08,Toys,South,1355.6,325.05
2024-08,Toys,East,1526.11,317.25
2024-08,Toys,West,1698.79,305.59
2024-09,Electronics,North,6980.39,1081.32
2024-09,Electronics,South,4560.85,459.97
2024-09,Electronics,East,5240.27,995.43
2024-09,Electronics,West,6594.64,1884.58
2024-09,Clothing,North,3800.63,869.9
2024-09,Clothing,South,2504.75,391.39
2024-09,Clothing,East,3172.16,534.48
2024-09,Clothing,West,3349.01,812.03
2024-09,Groceries,North,5308.9,1581.96
2024-09,Groceries,South,4458.51,1003.94
2024-09,Groceries,East,5251.07,970.22
2024-09,Groceries,West,5039.19,1221.83
2024-09,Furniture,North,2819.26,587.51
2024-09,Furniture,South,2031.45,301.33
2024-09,Furniture,East,2459.81,643.02
2024-09,Furniture,West,2488.03,489.88
2024-09,Toys,North,1648.12,488.24
2024-09,Toys,South,1208.86,148.02
2024-09,Toys,East,1446.15,309.35
2024-09,Toys,West,1517.91,395.38
2024-10,Electronics,North,7276.1,1437.36
2024-10,Electronics,South,5574.14,1179.0
2024-10,Electronics,East,6116.61,1402.36
2024-10,Electronics,West,7339.49,2086.44
2024-10,Clothing,North,3624.13,694.83
2024-10,Clothing,South,2659.34,774.02
2024-10,Clothing,East,2829.17,494.63
2024-10,Clothing,West,3918.14,1100.94
2024-10,Groceries,North,5740.26,859.53
2024-10,Groceries,South,4478.16,780.94
2024-10,Groceries,East,5011.32,725.28
2024-10,Groceries,West,4755.13,1022.28
2024-10,Furniture,North,2907.9,530.84
2024-10,Furniture,South,2174.52,498.45
2024-10,Furniture,East,2166.14,365.93
2024-10,Furniture,West,2548.0,358.77
2024-10,Toys,North,2019.89,368.04
2024-10,Toys,South,1556.09,373.6
2024-10,Toys,East,1972.16,342.11
2024-10,Toys,West,2075.32,410.17
2024-11,Electronics,North,8997.38,1807.17
2024-11,Electronics,South,6832.6,1184.64
2024-11,Electronics,East,7427.14,852.91
2024-11,Electronics,West,7780.91,1142.27
2024-11,Clothing,North,4755.83,1140.02
2024-11,Clothing,South,3669.78,425.22
2024-11,Clothing,East,3576.31,1044.91
2024-11,Clothing,West,3890.16,832.49
2024-11,Groceries,North,6487.08,1001.88
2024-11,Groceries,South,4192.63,908.61
2024-11,Groceries,East,5716.25,1509.85
2024-11,Groceries,West,7113.35,872.4
2024-11,Furniture,North,3392.03,766.7
2024-11,Furniture,South,2304.98,386.1
2024-11,Furniture,East,2826.66,553.29
2024-11,Furniture,West,3247.99,911.17
2024-11,Toys,North,2208.5,436.6
2024-11,Toys,South,1569.59,306.56
2024-11,Toys,East,1876.49,321.55
2024-11,Toys,West,2046.6,596.04
2024-12,Electronics,North,10889.07,3121.61
2024-12,Electronics,South,8572.22,2338.01
2024-12,Electronics,East,8325.6,1843.52
2024-12,Electronics,West,9629.58,1585.05
2024-12,Clothing,North,5392.52,1205.97
2024-12,Clothing,South,4190.0,979.51
2024-12,Clothing,East,4458.5,965.6
2024-12,Clothing,West,5238.54,761.2
2024-12,Groceries,North,8153.61,1189.13
2024-12,Groceries,South,5265.02,558.36
2024-12,Groceries,East,7438.94,1156.12
2024-12,Groceries,West,6975.64,1901.15
2024-12,Furniture,North,4352.48,1212.15
2024-12,Furniture,South,3341.46,383.47
2024-12,Furniture,East,3136.88,885.15
2024-12,Furniture,West,3243.49,607.44
2024-12,Toys,North,2608.15,264.14
2024-12,Toys,South,1917.05,202.46
2024-12,Toys,East,2327.5,349.11
2024-12,Toys,West,1919.65,337.82
2025-01,Electronics,North,12769.43,2279.61
2025-01,Electronics,South,8805.31,1164.99
2025-01,Electronics,East,9174.75,1453.52
2025-01,Electronics,West,11423.59,1426.05
2025-01,Clothing,North,5879.74,1711.8
2025-01,Clothing,South,5019.62,908.98
2025-01,Clothing,East,5397.51,1331.63
2025-01,Clothing,West,5349.05,1477.75
2025-01,Groceries,North,9591.17,2608.34
2025-01,Groceries,South,6793.48,1093.1
2025-01,Groceries,East,9158.02,1365.48
2025-01,Groceries,West,8007.12,2196.12
2025-01,Furniture,North,4971.94,944.58
2025-01,Furniture,South,3631.68,740.14
2025-01,Furniture,East,3711.03,912.55
2025-01,Furniture,West,3949.34,1152.42
2025-01,Toys,North,3091.86,799.35
2025-01,Toys,South,2203.64,319.47
2025-01,Toys,East,2994.45,801.14
2025-01,Toys,West,2213.06,293.91
2025-02,Electronics,North,13792.56,2359.21
2025-02,Electronics,South,10054.99,1593.04
2025-02,Electronics,East,12155.82,1419.65
2025-02,Electronics,West,13726.06,2877.27
2025-02,Clothing,North,6946.45,1525.45
2025-02,Clothing,South,5070.97,1472.62
2025-02,Clothing,East,5458.96,1277.83
2025-02,Clothing,West,6415.59,968.65
2025-02,Groceries,North,11318.58,1484.17
2025-02,Groceries,South,7024.2,1610.33
2025-02,Groceries,East,9355.87,2573.49
2025-02,Groceries,West,10164.39,1856.36
2025-02,Furniture,North,4991.94,888.25
2025-02,Furniture,South,3678.22,407.97
2025-02,Furniture,East,4197.07,468.15
2025-02,Furniture,West,4797.92,1374.6
2025-02,Toys,North,3277.23,551.69
2025-02,Toys,South,2743.27,727.47
2025-02,Toys,East,2544.41,482.94
2025-02,Toys,West,3342.57,906.21
2025-03,Electronics,North,12874.87,3347.96
2025-03,Electronics,South,10993.71,1266.9
2025-03,Electronics,East,13418.8,2005.29
2025-03,Electronics,West,11181.2,3097.71
2025-03,Clothing,North,6684.77,872.5
2025-03,Clothing,South,5596.5,628.97
2025-03,Clothing,East,5358.64,1117.79
2025-03,Clothing,West,6734.26,1777.14
2025-03,Groceries,North,10009.38,1768.49
2025-03,Groceries,South,6923.85,1272.37
2025-03,Groceries,East,10117.9,1630.03
2025-03,Groceries,West,9670.07,1631.19
2025-03,Furniture,North,4922.49,1112.85
2025-03,Furniture,South,3928.05,707.24
2025-03,Furniture,East,4216.84,1081.43
2025-03,Furniture,West,4624.63,980.32
2025-03,Toys,North,3968.03,989.51
2025-03,Toys,South,2585.98,735.62
2025-03,Toys,East,3116.75,489.11
2025-03,Toys,West,3356.28,562.99
2025-04,Electronics,North,14226.36,2871.44
2025-04,Electronics,South,9525.67,2503.22
2025-04,Electronics,East,10731.34,1895.33
2025-04,Electronics,West,12529.22,1373.33
2025-04,Clothing,North,7545.39,840.77
2025-04,Clothing,South,4653.03,1386.32
2025-04,Clothing,East,4972.15,1326.36
2025-04,Clothing,West,6603.95,841.96
2025-04,Groceries,North,10896.11,1612.48
2025-04,Groceries,South,7777.14,1917.67
2025-04,Groceries,East,8813.42,2041.38
2025-04,Groceries,West,9004.07,1278.08
2025-04,Furniture,North,5500.46,1199.08
2025-04,Furniture,South,3332.72,436.06
2025-04,Furniture,East,4759.49,667.87
2025-04,Furniture,West,4565.61,877.69
2025-04,Toys,North,4211.8,1025.7
2025-04,Toys,South,2730.46,707.69
2025-04,Toys,East,3140.96,870.65
2025-04,Toys,West,3371.43,557.04
2025-05,Electronics,North,12998.58,1974.3
2025-05,Electronics,South,10692.46,1439.36
2025-05,Electronics,East,11333.33,1293.66
2025-05,Electronics,West,13052.52,2838.8
2025-05,Clothing,North,6396.94,1370.43
2025-05,Clothing,South,4650.74,1069.85
2025-05,Clothing,East,5926.42,1536.85
2025-05,Clothing,West,6063.02,1042.43
2025-05,Groceries,North,10969.42,3012.62
2025-05,Groceries,South,7603.97,1508.06
2025-05,Groceries,East,7833.32,1126.83
2025-05,Groceries,West,9423.45,1496.68
2025-05,Furniture,North,5063.3,983.48
2025-05,Furniture,South,3731.06,892.41
2025-05,Furniture,East,4044.07,756.11
2025-05,Furniture,West,4035.23,751.85
2025-05,Toys,North,3348.84,785.02
2025-05,Toys,South,2193.92,498.6
2025-05,Toys,East,2629.56,711.35
2025-05,Toys,West,3352.83,718.32
2025-06,Electronics,North,11123.46,2669.94
2025-06,Electronics,South,9147.93,1274.86
2025-06,Electronics,East,9093.2,2034.06
2025-06,Electronics,West,10275.54,2945.51
2025-06,Clothing,North,5630.3,826.43
2025-06,Clothing,South,4495.33,508.19
2025-06,Clothing,East,5023.29,1417.46
2025-06,Clothing,West,4616.72,463.25
2025-06,Groceries,North,8875.9,2114.21
2025-06,Groceries,South,6714.05,843.12
2025-06,Groceries,East,6329.95,1070.41
2025-06,Groceries,West,8684.76,925.18
2025-06,Furniture,North,4654.92,650.16
2025-06,Furniture,South,3149.62,738.57
2025-06,Furniture,East,3378.65,926.88
2025-06,Furniture,West,3460.22,640.11
2025-06,Toys,North,2882.66,457.62
2025-06,Toys,South,2274.26,345.85
2025-06,Toys,East,2272.11,444.99
2025-06,Toys,West,2714.91,805.73
2025-07,Electronics,North,10194.08,2704.67
2025-07,Electronics,South,7194.59,1431.17
2025-07,Electronics,East,7712.47,1567.84
2025-07,Electronics,West,9031.29,2275.76
2025-07,Clothing,North,5129.64,983.98
2025-07,Clothing,South,3464.67,717.57
2025-07,Clothing,East,3678.84,775.12
2025-07,Clothing,West,4075.38,1015.41
2025-07,Groceries,North,7129.96,1631.46
2025-07,Groceries,South,4902.01,1431.48
2025-07,Groceries,East,5732.55,1225.97
2025-07,Groceries,West,5879.32,754.78
2025-07,Furniture,North,3732.0,577.28
2025-07,Furniture,South,2747.03,538.74
2025-07,Furniture,East,3046.34,896.58
2025-07,Furniture,West,3062.23,638.4
2025-07,Toys,North,2296.36,517.33
2025-07,Toys,South,1671.68,453.7
2025-07,Toys,East,1919.97,502.78
2025-07,Toys,West,1691.17,204.73
2025-08,Electronics,North,8493.5,1412.72
2025-08,Electronics,South,6717.14,1717.63
2025-08,Electronics,East,6740.3,1021.99
2025-08,Electronics,West,7539.48,1768.05
2025-08,Clothing,North,4225.01,621.55
2025-08,Clothing,South,2960.82,619.21
2025-08,Clothing,East,3659.84,1042.26
2025-08,Clothing,West,3752.94,615.0
2025-08,Groceries,North,6980.46,1729.5
2025-08,Groceries,South,4145.29,462.84
2025-08,Groceries,East,5757.25,1488.27
2025-08,Groceries,West,6124.09,1149.62
2025-08,Furniture,North,3245.89,445.81
2025-08,Furniture,South,2646.38,415.87
2025-08,Furniture,East,2925.76,761.97
2025-08,Furniture,West,3438.67,835.52
2025-08,Toys,North,2050.94,524.25
2025-08,Toys,South,1429.32,273.89
2025-08,Toys,East,1512.06,305.82
2025-08,Toys,West,1876.67,300.61
2025-09,Electronics,North,8699.89,2253.68
2025-09,Electronics,South,5492.11,998.28
2025-09,Electronics,East,6728.04,1213.2
2025-09,Electronics,West,6714.65,1256.6
2025-09,Clothing,North,4317.11,606.32
2025-09,Clothing,South,2867.19,308.88
2025-09,Clothing,East,3672.78,542.66
2025-09,Clothing,West,3985.3,536.74
2025-09,Groceries,North,6478.27,976.9
2025-09,Groceries,South,4628.48,962.73
2025-09,Groceries,East,5446.97,1053.55
2025-09,Groceries,West,5198.74,913.89
2025-09,Furniture,North,3152.14,442.02
2025-09,Furniture,South,2670.57,489.36
2025-09,Furniture,East,2972.66,381.91
2025-09,Furniture,West,2830.93,517.04
2025-09,Toys,North,1869.53,221.38
2025-09,Toys,South,1704.95,270.98
2025-09,Toys,East,1624.9,423.41
2025-09,Toys,West,2097.12,300.22
2025-10,Electronics,North,8853.71,2164.2
2025-10,Electronics,South,6626.3,933.0
2025-10,Electronics,East,8153.97,1276.5
2025-10,Electronics,West,7913.53,1337.81
2025-10,Clothing,North,4400.7,929.56
2025-10,Clothing,South,3180.19,320.91
2025-10,Clothing,East,3185.73,541.93
2025-10,Clothing,West,4221.76,1240.59
2025-10,Groceries,North,6622.45,1497.76
2025-10,Groceries,South,5237.69,541.0
2025-10,Groceries,East,5441.37,959.57
2025-10,Groceries,West,5554.64,1464.53
2025-10,Furniture,North,3062.25,379.72
2025-10,Furniture,South,2133.52,427.93
2025-10,Furniture,East,2596.59,719.73
2025-10,Furniture,West,3087.13,625.23
2025-10,Toys,North,2220.19,616.14
2025-10,Toys,South,1572.94,202.93
2025-10,Toys,East,1758.43,356.94
2025-10,Toys,West,1906.04,552.79
2025-11,Electronics,North,9706.85,1043.02
2025-11,Electronics,South,8036.42,1761.11
2025-11,Electronics,East,7352.02,1622.68
2025-11,Electronics,West,9522.39,2821.66
2025-11,Clothing,North,4844.13,1305.91
2025-11,Clothing,South,3512.83,463.11
2025-11,Clothing,East,4139.23,1051.11
2025-11,Clothing,West,4546.94,570.58
2025-11,Groceries,North,7668.29,1942.88
2025-11,Groceries,South,5305.87,1333.2
2025-11,Groceries,East,6681.29,869.74
2025-11,Groceries,West,6828.18,1285.78
2025-11,Furniture,North,3991.03,553.37
2025-11,Furniture,South,2340.53,302.92
2025-11,Furniture,East,3351.34,537.99
2025-11,Furniture,West,3449.98,597.95
2025-11,Toys,North,2362.84,247.33
2025-11,Toys,South,1897.95,429.98
2025-11,Toys,East,1976.53,310.96
2025-11,Toys,West,2261.43,539.78
2025-12,Electronics,North,11936.04,1720.61
2025-12,Electronics,South,10084.05,2701.51
2025-12,Electronics,East,10444.55,1364.53
2025-12,Electronics,West,10255.51,2943.03
2025-12,Clothing,North,5955.36,1112.66
2025-12,Clothing,South,5018.98,1077.05
2025-12,Clothing,East,5237.79,1252.69
2025-12,Clothing,West,6306.53,741.25
2025-12,Groceries,North,10004.53,1877.55
2025-12,Groceries,South,6432.17,1891.91
2025-12,Groceries,East,6294.02,1752.36
2025-12,Groceries,West,8410.61,1551.29
2025-12,Furniture,North,5211.59,1413.39
2025-12,Furniture,South,3531.17,501.03
2025-12,Furniture,East,3780.05,655.04
2025-12,Furniture,West,4426.88,739.51
2025-12,Toys,North,2489.08,733.72
2025-12,Toys,South,2340.4,241.69
2025-12,Toys,East,2476.23,538.33
2025-12,Toys,West,2588.3,262.22
